frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
2624.3593,0.0282,-34.0373,0.0282,-34.0373
2630.2172,0.0275,-34.1125,0.0275,-34.1125
2636.0752,0.0268,-34.1876,0.0268,-34.1876
2641.9331,0.0261,-34.2628,0.0261,-34.2628
2647.7911,0.0254,-34.3380,0.0254,-34.3380
2653.6490,0.0247,-34.4131,0.0247,-34.4131
2659.5070,0.0240,-34.4883,0.0240,-34.4883
2665.3649,0.0234,-34.5635,0.0234,-34.5635
2671.2228,0.0227,-34.6386,0.0227,-34.6386
2677.0808,0.0220,-34.7138,0.0220,-34.7138
2682.9387,0.0213,-34.7890,0.0213,-34.7890
2688.7967,0.0206,-34.8641,0.0206,-34.8641
2694.6546,0.0199,-34.9393,0.0199,-34.9393
2700.5126,0.0192,-35.0145,0.0192,-35.0145
2706.3705,0.0185,-35.0896,0.0185,-35.0896
2712.2285,0.0178,-35.1648,0.0178,-35.1648
2718.0864,0.0171,-35.2400,0.0171,-35.2400
2723.9443,0.0163,-35.3151,0.0163,-35.3151
2729.8023,0.0156,-35.3903,0.0156,-35.3903
2735.6602,0.0149,-35.4655,0.0149,-35.4655
2741.5182,0.0142,-35.5406,0.0142,-35.5406
2747.3761,0.0135,-35.6158,0.0135,-35.6158
2753.2341,0.0128,-35.6910,0.0128,-35.6910
2759.0920,0.0121,-35.7661,0.0121,-35.7661
2764.9500,0.0114,-35.8413,0.0114,-35.8413
2770.8079,0.0106,-35.9165,0.0106,-35.9165
2776.6659,0.0099,-35.9916,0.0099,-35.9916
2782.5238,0.0092,-36.0668,0.0092,-36.0668
2788.3817,0.0085,-36.1420,0.0085,-36.1420
2794.2397,0.0077,-36.2172,0.0077,-36.2172
2800.0976,0.0070,-36.2923,0.0070,-36.2923
2805.9556,0.0063,-36.3675,0.0063,-36.3675
2811.8135,0.0056,-36.4427,0.0056,-36.4427
2817.6715,0.0048,-36.5178,0.0048,-36.5178
2823.5294,0.0041,-36.5930,0.0041,-36.5930
2829.3874,0.0034,-36.6682,0.0034,-36.6682
